sample_index,conversation_id,customer_message,intent,expected_action,risk_level,sampling_group,reference_resolution,conversation_context,notes,dataset_heuristic_intent,dataset_heuristic_action,audit_status,reviewer_rationale_notes
55,conv_2614173,I didn't get Amazon keychain on prime renewal ..please arrange one,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,We don't ship prime goodies for a renewal membership at the moment. It was an introductory offer which has been discontinued. Appreciate your understanding.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
56,conv_2530748,I orderd iPhone 5s faced prblm person Umesh prmsd me refund now prsn called nikat was really very rude I want my money back as prmsd,CANCELLATION_REQUEST,AUTO,LOW,common_support,I’m sorry about the issue you’re facing with delivery. Let us look into it. Please (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
57,conv_2825547,who's this hell using my mobile number for amazon shopping??? didnt find any of your contact number which can i able to contact u . find out this person who's using my number . this is my contact number - 9879482001 which is already using someone else [LINK],UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"That's strange! Please check if you have another account with the mobile number. If not, please contact here: [LINK] &amp; we'll help you. Please don’t provide account details, we consider them personal info. Our Twitter page is visible to public.",12-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
58,conv_527631,received a broken item in my order. Asked for replacement 2dayd back. No progress yet. This isn't the way customers should be handled. #badshopping,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,"I'm sorry for the ordeal. I’d like to look into this, please fill this form: [LINK] and I’ll contact you at the earliest",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
59,conv_1278133,not able to login my account email Id __email__ [LINK],ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,We have responded to you here: [LINK] Rakesh. Kindly check.,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
60,conv_378460,It was very pathetic experience with Amazon. I have received the headset broken. I am very disappointed with Amazon. [LINK],DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,We're sorry to see this. Please contact us here: [LINK] and our support team will get this sorted soon.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
61,conv_2985517,"hey on this page [LINK] the ""sign in using alternative factors"" link (which points to [LINK] is broken and leads to a 404. which is kinda frustrating as i need to reset my 2FA [LINK]",ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,I am sorry to heat this. Can you please try clearing your cookies and cache as this may rectify this issue for you.,3-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
62,conv_2363244,"Hi I have a defective product and the seller is being astonishingly unhelpful, please could you advise?",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,I'm so sorry to hear the seller has not been able to resolve your issue! Please see if your situation qualifies for our A-to-Z Guarantee: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
63,conv_2544936,Apparently you tried to deliver a package to me at 4pm..If I wasn't in it was to be delivered to my neighbour.. Someone is telling pokies.,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,I'm sorry to hear of the delivery trouble! Has tracking been updated with a new delivery date: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
64,conv_465101,How is saying I'm getting my order Monday when it hasn't even shipped yet,DELIVERY_DELAY,AUTO,LOW,common_support,Fret not! It is not uncommon for packages to be shipped and received on the same day! Let us know if you don't receive your package on Monday by 8pm!,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
65,conv_477685,"sir, my parcel's tracking id- AW919025074IN was supposed to be delivered at PIN-249135 PO Bhatwari, District Uttarkashi by 24th Nov. However instead of PO Bhatwari it is being tossed from Haridwar2",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2",3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
66,conv_2205124,"This really gets up my nose - I already pay for an Amazon Prime subscription, I resent having to pay more on top for half the shows.",PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,I'm sorry Mysterious Cities of Gold isn't available on Prime Video. Our selection changes from time to time. We appreciate your feedback about how we can improve Amazon Video.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
67,conv_2841888,"Hey order was supposed to be delivered today..order was placed 10 days back, I urgently need my package. [LINK]",ORDER_TRACKING_STATUS,AUTO,LOW,common_support,I'm sorry that your order has been delayed. Could you please confirm if you have reported to our support team here: [LINK] for the assistance?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
68,conv_2762026,I want to return a consignment and I don't know the process.pl tell me,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,You would be able to request a return here: [LINK] and you can know more information about the returns from here: [LINK],2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
69,conv_2960563,"My third year in a row ordering all my holiday presents from - It's getting worse each year. Orders always screwed up, wrong items sent, damaged, etc. It's my last year ordering anything from Amazon. I will be going back to traditional shopping at the store.",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,I'm sorry for the poor experience you've had with us! We'd like to make sure you're taken care of. Is there a current order you're experiencing issues with?,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
70,conv_1307208,pls help urgently I am not getting my refunds since last more than 20 days and Amazon cust care is not responding,REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,That's unusual. Apologies for the delay with the refund. Please share your details here: [LINK] (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
71,conv_1157965,How do I get in touch to find out why my order's not been delivered? It's very unclear.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,We'd like to help! What does the status of the order show here: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
72,conv_2746039,worst service going! Defiantly will be cancelling my prime membership,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"I'm sorry we've let you down, Luke! Without revealing account information, please tell us how we can help.",11-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
73,conv_2240594,"Hey , nothing's the matter with my credit card. Just process my order. Thank you.",GENERAL_INQUIRY_FEEDBACK,ESCALATE,HIGH,high_risk,Hey there! We'd like to help! Are you encountering an error message when trying to submit an order? What does the error message say? Please let us know!,4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Customer expression of praise/compliment misclassified by keyword matching as PAYMENT_AND_BILLING_ISSUE; proposed as GENERAL_INQUIRY_FEEDBACK (safe auto-handling). | Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
74,conv_1300171,Hey how do I select the delivery option that's not your couriers? It's not only shady as hell but unreliable as well.,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,There isn't a way to select a specific carrier to deliver your order. Have you experienced recent issues w/ Amazon Logistics?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
75,conv_2601415,I have a prime membership. In the past several months I no longer get Sat or Sun delivery options - why?,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"I am sorry to hear this, can I ask is the address you are selecting a commercial address please? This service is a Monday to Friday service with deliveries from 9a.m to 5p.m. Thanks.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
76,conv_1916250,just received a delivery but two items were missing?,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,Oh no! Are the items coming in two separate shipments? You can find that information here: [LINK],17-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
77,conv_323385,they have hired worst delivery persons they will call you at 8'O clock in the morning to collect you order to you office address,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,I'm sorry for the trouble with the pick up agent. I have forwarded your feedback to the concerned team for review.,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
78,conv_2226743,i have sent what i was gotten okk so please stop fooling me and make my refund [LINK],REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,Please check if you've received an email from us and reply to it for any further queries.,9-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
79,conv_2934451,my delivery arrived this morning broken and with not any real protection... it being glass and all? How do I return or get a new one?? So disappointed [LINK],DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,"Hi, I'm sorry to see that. If the order was fulfilled by Amazon, please check the options available here: http:[LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
80,conv_2211772,my first buy with you . Lee Cooper shoes. Worst quality and looks duplicate. It tore in just 3- 4 use [LINK],WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,We're sorry for the damaged product. Kindly report this to our support team here: [LINK] we'll ensure to resolve it as soon as possible.,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
81,conv_182562,you should change the name of your sale from #AmazonGreatIndianFestival to #AmazonLateDeliveryFestival. Order delayed by 8 days.,DELIVERY_DELAY,AUTO,LOW,common_support,I'm sorry to know about the delay. Please reach out to us here: [LINK] we'd like to help.,25-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
82,conv_1206936,"looking for the ISBN number of kindle edition of Cory Doctorow's Walkaway. Can't find it on ur web site. Have book, not in it?",DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,ISBNs would not be in Kindle editions. Kindle is a digital version of a book. ISBNs are tied to physical copies.,5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
83,conv_2678801,I still haven't received it and have been getting emails everyday stating its 'out for delivery'.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"Sorry for the trouble with your order. We'd like to look into this further, please reach out to us here: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
84,conv_259363,.It's worst [LINK] day over to return product and I didn't get any confirmation msg/email .,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,"The product may take 5-7 days to return to our center, request you to wait till the same. Appreciate your patience.",2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
85,conv_722115,I had asked for a return of an item yesterday and no one had called nor come to pick up the product order#408-9544494-6513161,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^(2/2)BA",3-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
86,conv_938041,help. Just ordered a book but ordered the kindle option and paid... How do I cancel it? I don't want the kindle copy,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,We're here to help! Please reach out to us by phone or chat here: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
87,conv_166423,"tried to buy an MP3 &amp; the following error comes up: ""We were unable to process your purchase with your current payment information. Please enter a valid payment method and an address which are both local."" - my payment method &amp; address are valid. Help?",PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,"I'm sorry you received an error message. Are you using a credit/debit card issued by a bank in the UK, and a UK billing address? To confirm, please check your 1-Click settings here: [LINK]",6-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
88,conv_376290,"So has either a glitch or is straight up lying. Find out package ""out for delivery"" today has never left the shipper.",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,Oh no! Could you tell us if your order is shipped &amp; sold by a third-party seller or by Amazon: [LINK],7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
89,conv_975685,Now I don't want that product to be delivered. I just want refund for my order. Didn't expect such bad service from .,RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,"Sorry to know your order hasn't been delivered yet, we certainly did not expect this to happen. 1/2",3-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
90,conv_176437,I have already emailed seller with no reply,CANCELLATION_REQUEST,AUTO,LOW,common_support,I'm sorry your didn't receive your order! Please explore your options to file an A-Z guarantee claim here: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
91,conv_420801,"Now Amazon transportation service started making fool 2 customer. B4 delivered the product, updating wrong status.",DELIVERY_DELAY,AUTO,LOW,common_support,Sorry to know the package was wrongly scanned as delivered. Kindly report this to our team here: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
92,conv_1953299,"u guys scamming me . putting my account in hold also saying for ur safety but to scam me , and don't give me any support just telling me to send u guys my last gift card receipt with fax and I send it 10times for u guys still my account in hold , such obvious scamming shame on u",UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"I'm sorry to hear your account was put on hold! Without providing account details, can you tell us a bit more about the situation? Did you receive any e-mails from us regarding the status of your account?",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
93,conv_180694,"my order arrived damaged. given packaging by fulfillment center, awful packaging is cause. Last pic showing crystals on bottom [LINK]",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,I'm sorry for the damage. Was this order shipped or fulfilled by Amazon or was it shipped and sold by a third party?,13-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
94,conv_751724,W/o even attempting to deliver u say customer was not present &amp; lying about it for last two days.ORDER # 405-6528698-0042703,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,I am so sorry. Would you mind providing us required information here: [LINK] so we can help? ^MP(1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
95,conv_1083853,why did my order suddenly go from 2 day shipping to possibly 5 day?,DELIVERY_DELAY,AUTO,LOW,common_support,What was the promised delivery date in your order confirmation? You can check here:[LINK] Keep us posted!,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
96,conv_2303624,bring your sound bar's to India too,OTHER,ESCALATE,MEDIUM,ambiguous,We haven't made an announcement on it yet. I'll be certain to pass this on as a feedback internally. &amp;PB,2-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
97,conv_1339616,ordered phone on twice money got deducted from acc &amp; twice amazon says payment failed. on retrying they charging more. Disgusting.,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,That's strange ! Have you tried contacting us here: [LINK] so that we can assist you accordingly.,9-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
98,conv_1421287,This is now regular. Buy something with promise of delivery next day. Then say sorry and push delivery by 3 days. What is d point? [LINK],DELIVERY_DELAY,AUTO,LOW,common_support,"I'm sorry about the delay. We try our best to deliver the orders on time. However, due to an unprecedented delay, the 1/2",7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
99,conv_2529521,"Change your carrier for items coming from Maidstone depot, they have yet again failed to deliver my item! #ShitService",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Sorry to hear you've had an issue. Without personal info, did you receive a delivery card?",11-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
100,conv_1062286,"Why do I pay for prime membership to get 2 days shipping and Delivery estimate: Thursday, October 19, 2017 by 8 PM ?",PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"Two-Day Shipping refers to transit time, in business days, once shipped. Details can be found here: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
101,conv_660336,"Basically my whole #amazon #amzl experience just as shitty as everything here [LINK] But we knew that 2-day delivery things was unsustainable anyhow, didn't we?",DELIVERY_DELAY,AUTO,LOW,common_support,"Oh no, Terrie! I'm sorry to hear you've had a poor experience, it's never our intent to let you down. Without divulging any personal information, would you tell us more about the issues you're facing? We'd like to help where we can.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
102,conv_861905,"Amazon notification- ""Your parcel has been given to a resident/neighbour"" Reality- ""I've shoved your parcel into a bin""",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,I'm sorry for the poor delivery. Was there any damage to your parcel?,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
103,conv_315018,"ORDER #4__credit_card__ your services are the shit. You can never become the ""Earth's Most Customer-Centric Company""(4)",UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,Sorry about the unpleasant experience. I'd like to help. Please write to us here: [LINK] ^SA 1/3,4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
104,conv_425137,I have never received this order. Never signed. How come this was delivered to the customer directly? This is fraud...I need my money back. [LINK],UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,We would like to help you. Please share your details with us here: [LINK] We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.,52-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
105,conv_2616464,"I have placed an order for micro USB lighting adapter for Apple device on 05th of October,but still I have have not received. It was to deliver on 26th of October 2017",WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"Apologies for the inconvenience. Have you reported this to our support team? If not, you can do that here: [LINK] so that they can assist accordingly. Bhargav | Amazon Customer Service",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
106,conv_2776355,I PLACED ORDER IN AMAZONE A EMAIL GIFT CARD WORTH RS 225 MY BALANCE WAS DEDUCTED IN MY ACOUNT BUT I CAN NOT GET ANY MSG EMAIL AFTER THESE I CONTACT WITH CUSTUMER SERVICE SUPPORT BUT THEY CAN NOT RETURN MY BALANCE SHAME ON YOU AMAZONE LOOT RAHE HO TUM INDIAN CUSTOMER KO,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,I'm sorry to hear that! We apologize for the inconvenience. Kindly share your details here: [LINK] and we’ll contact you soon.,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
107,conv_2805851,My package isn't here as promised. Chat disconnected. Phone support transferred me to synch bank(?). Not sure I want to pay from prime to be so abused by Amazon staff.,DELIVERY_DELAY,AUTO,LOW,common_support,I am really sorry for this poor experience. You can provide feedback to their manager through the survey which has been e-mailed to you. We'd like to help! What is the expected delivery date for your order?,5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
